sku,name,barcode,family_id,family,id_group,group,Esistenza,Scarto,stock_quantity,Esercizio,Listino1,Listino2,Listino3
000000000237622,"LIMONITO LT.1",8003760007564,13,LIQUORI,010,"AMARI E LIQUORI","7,000",2,"5,000",2021,"9,98500","10,98500","7,50000"
000000000237896,"VINO FIORDUVA FURORE BIANCO 2019 CL.75 14,5° MARISA CUOMO VINI ESTREMI",8033829280430,14,"VINO BIANCO",009,VINI,"3,000",0,"3,000",2021,"41,90500","46,10500","31,50000"
000000000238087,"WHISKY BALLANTINES LT. 1 ///",5010106111956,9,WHISKY,032,DISTILLATI,"13,000",2,"11,000",2021,"14,26500","15,69500","11,40700"
000000000238456,"VINO PASSERINA ADAMANTEA CL.75 TENUTA COCCI GRIFONI",8010109401044,14,"VINO BIANCO",009,VINI,"1,000",2,"-1,000",2021,"4,60500","5,07500","3,46000"
000000000238619,"LIQUORE DI LIMONE BROTTO LT.2",80594345,13,LIQUORI,010,"AMARI E LIQUORI","2,000",2,"0,000",2021,"18,09500","19,90500","13,60200"
000000000238635,"FABBRI TOPPING AMARENA GR.950 ///",80021728,00121,TOPPING,011,SCIROPPI/TOPPING,"9,000",2,"7,000",2021,"8,04500","8,85500","5,35800"
000000000238803,"MARZADRO LIQUORE MARENA CL.70",8004009008786,13,LIQUORI,010,"AMARI E LIQUORI","34,000",2,"32,000",2021,"16,73500","18,41500","11,15000"
000000000239024,"RUM ZACAPA 23Y ETICHETTA NERA CL.70 ///",7401005004735,8,RUM,032,DISTILLATI,"-1,000",2,"-3,000",2021,"78,62500","86,49500","52,41200"
000000000239247,"VINO TIGNANELLO 2017/2018 CL.75 TOSCANA IGT ANTINORI",8001935124504,15,"VINO ROSSO",009,VINI,"4,000",0,"4,000",2021,"70,70500","77,78500","50,50000"
000000000239455,"SCOTCH WHISKY GRANT'S CL.70",5010327000404,9,WHISKY,032,DISTILLATI,"20,000",2,"18,000",2021,"12,14500","13,36500","9,12500"
000000000239529,"BIRRA HB MUNCHEN WEISSE CL.50",4005686004157,18,"BIRRA SPECIALE/ARTIGIANALE",014,BIRRE,"110,000",2,"108,000",2021,"1,41500","1,56500","0,94100"
000000000239595,"AMARO 18 ISOLABELLA CL.100",8001110017058,10,AMARO,010,"AMARI E LIQUORI","7,000",2,"5,000",2021,"17,18500","18,90500","11,45000"
000000000239673,"ISOLABELLA STRAWBERRY MIX & CO. CL.70",8003760136004,13,LIQUORI,010,"AMARI E LIQUORI","2,000",2,"0,000",2021,"8,21500","9,04500","5,47167"
000000000239743,"RUM SANTA TERESA ANEJO GRAN RESERVE LT.1",024223000319,8,RUM,032,DISTILLATI,"7,000",2,"5,000",2021,"21,24500","23,37500","15,97000"
000000000239984,"CHAMPAGNE RUINART BLANC DE BLANCS CL.75 C/ASTUCCIO 12.5° XXX",3185370303429,00116,CHAMPAGNE,033,BOLLICINE,"8,000",0,"8,000",2021,"65,00500","71,51500","55,00000"
000000000240270,"MARSALA CREMOVO LT.1 LILIBEO",8004445025392,13,LIQUORI,010,"AMARI E LIQUORI","14,000",2,"12,000",2021,"5,48500","6,03500","3,65000"
000000000240288,"SCOTCH WHISKY CARDHU 12 Y CL.70 ///",5000267102573,9,WHISKY,032,DISTILLATI,"7,000",2,"5,000",2021,"24,71500","27,19500","18,58000"
000000000240363,"ELISIR GRAMBRINUS CL.70",8024419000019,13,LIQUORI,010,"AMARI E LIQUORI","4,000",2,"2,000",2021,"16,96500","18,66500","11,30840"
