Codice;Descrizione1;BarCode;IDFamiglia;Famiglia;IDGruppo;Gruppo;Esistenza;Scarto;EsistenzaNetta;Esercizio;Listino 1;Listino2;ListinoLM
000000000242968;BIRRA SCHNEIDER WEISSE TAP 7 MEIN ORIGINAL 5,4° CL.50 ///;003669016203;18;BIRRA SPECIALE/ARTIGIANALE;014;BIRRE;44,000;2;42,000;2021;2,15500;2,37500;1,43400
000000000242968;BIRRA SCHNEIDER WEISSE TAP 7 MEIN ORIGINAL 5,4° CL.50 ///;4003669016203;18;BIRRA SPECIALE/ARTIGIANALE;014;BIRRE;44,000;2;42,000;2021;2,15500;2,37500;1,43400
000000000242978;CHAMPAGNE JACQUART CL.75 12.5° CON ASTUCCIO XXX;5758200064;00116;CHAMPAGNE;033;BOLLICINE;2,000;0;2,000;2021;25,44500;27,99500;20,44000
000000000242983;VODKA BELUGA 40° CL.5;4603928003373;7;VODKA;032;DISTILLATI;1,000;0;1,000;2021;6,54500;7,20500;4,36000
000000000243020;VODKA ORGANIC VKA 40° CL.70;8057284460008;7;VODKA;032;DISTILLATI;42,000;2;40,000;2021;26,52500;29,16500;17,67000
000000000243022;GIN MOMBASA LONDON DRY 41,5% CL.70;8437011284006;11;GIN;032;DISTILLATI;34,000;0;34,000;2021;29,70500;32,68500;19,80000
000000000243038;CONFEZIONE GIN BROCKMANS 40° CL.70 + BICCHIERE (FRANCOLI);5010296169164;11;GIN;032;DISTILLATI;3,000;0;3,000;2021;48,97500;53,87500;32,64800
000000000238902;PROSECCO NIKKO NICCOLAI D.O.C.G.  CL.75 XXXX ///;8000151000227;00118;PROSECCO/SPUMANTE;033;BOLLICINE;1112,000;2;1110,000;2021;6,48500;7,13500;3,70000
000000000239061;VINO PECORINO SPUMANTIZZATO MERLETTAIE BRUT CL.75 CIU CIU;8059439000186;00120;VINO SPUMANTIZZATO;009;VINI;33,000;2;31,000;2021;6,78500;7,46500;5,10000
000000000239062;VINO PASSERINA SPUMANTIZZATA BRUT ALTAMAREA  CL.75 CIU CIU;8029439001268;00120;VINO SPUMANTIZZATO;009;VINI;40,000;2;38,000;2021;5,65500;6,22500;4,25000
000000000239066;MARZADRO GRAPPA GEWURZTRAMINER CL.70 GIARE;8004009000087;5;GRAPPA;032;DISTILLATI;7,000;0;7,000;2021;36,30500;39,94500;24,19800
000000000239172;RUM EL DORADO 12 Y.CL.70;8715151120799;8;RUM;032;DISTILLATI;3,000;2;1,000;2021;32,21500;35,44500;24,21700
000000000239249;CHAMPAGNE BELLE EPOQUE CL.75 PERRIER JOUET;3113880104212;00116;CHAMPAGNE;033;BOLLICINE;7,000;2;5,000;2021;137,24500;150,97500;91,49400
000000000239446;VINO PASSERINA EVOE' 2020 IGP CL.75 CIU CIU;8029439000148;14;VINO BIANCO;009;VINI;238,000;2;236,000;2021;4,32500;4,76500;3,25000
000000000239462;VINO ROSSO PICENO SUPERIORE NUMMARIA CL.75 LACANOSAXXXX ///;8033286670102;15;VINO ROSSO;009;VINI;6,000;2;4,000;2021;4,66500;5,13500;3,50000
000000000239486;ALCHERMES BELLINI/DILMOR CL.70;8007225002002;13;LIQUORI;010;AMARI E LIQUORI;0,000;2;-2,000;2021;4,12500;4,54500;3,10000
000000000239487;GENZIANA EVANGELISTA CL. 150;8008255141549;13;LIQUORI;010;AMARI E LIQUORI;107,000;2;105,000;2021;15,43500;16,98500;11,59900
000000000239538;VINO VERNACCIA DI SERRAP. DOCG CL.75 COLLELUCE;8012641000112;15;VINO ROSSO;009;VINI;9,000;2;7,000;2021;5,72500;6,30500;4,30000
000000000239556;VINO PECORINO DOC CL.75 13° PASETTI;8051084760054;14;VINO BIANCO;009;VINI;110,000;2;108,000;2021;7,01500;7,72500;5,27000
000000000239604;PUNCH KINGSTON CL.100 EVANGELISTA;8008255193333;4;PUNCH;010;AMARI E LIQUORI;39,000;2;37,000;2021;12,51500;13,77500;8,34000
000000000239664;VINO FALERIO DOC  CL.75 LACANOSAXXXX ///;8033286670089;14;VINO BIANCO;009;VINI;123,000;2;121,000;2021;3,46500;3,81500;2,60000
000000000239726;VODKA ABSOLUT  CL.70 ///;7312040017683;7;VODKA;032;DISTILLATI;34,000;2;32,000;2021;11,82500;13,01500;8,88800
000000000239743;RUM SANTA TERESA ANEJO GRAN RESERVE LT.1;024223301058;8;RUM;032;DISTILLATI;7,000;2;5,000;2021;21,24500;23,37500;15,97000
