ID,COD,Nome
11421,000000000247326,"Vino Verdicchio Jesi Podium Doc 2017 14° Cl.75 Garofoli"
11422,000000000245631,"Vino Grillo Sur Sur Doc 2019 Cl.75 12.5°  Donna Fugata"
11423,000000000245632,"Vino Chardonnay La Fuga Doc 2018 Cl.75 13°  Donna Fugata"
11424,000000000246102,"Vino Friulano Cl.75 Valentino Butussi"
11425,000000000245224,"Vino Sauvignon Doc Cl.75 Abbazia Di Novacella"
11426,000000000246099,"Vino Custoza 2019 Superiore Ca' Del Magro Cl.75 Monte Del Fra'"
11428,000000000245264,"Vino Verdicchio Classico Doc 13° Le Vaglie 2019 Cl.75 S.Barbara"
11429,000000000245268,"Vino Verdic. Clas.Super. Doc 2017 13,5° Antonucci Cl.75 S.Barbara"
11430,000000000245269,"Vino Verdicchio Ste' 2019 13° Cl.75  S.Barbara"
11431,000000000244158,"Vino Zibibbo Igp 2017 Cl.75 12° Tenute Orestiadi"
11432,000000000244007,"Vino Chardonnay Villa Margon Cl.75 Tenute Lunelli"
11433,000000000250857,"Vino Bianco Toscana Poggio Alle Gazze Dell'Ornellaia 2018 Cl.75 13°"
11434,000000000250840,"Vino Castello Pomino 2019 Cl.75 12,5° Frescobaldi"
11442,000000000247327,"Vino Rosso Conero Piancarda Doc 2017 14° Cl.75 Garofoli"
11443,000000000247325,"Vino Rosso Conero Piancarda Cl.150 14° Garofoli"
11444,000000000247311,"Vino Montepulciano D'Abruzzo Zanna 2015 Cl.75 Illuminati"
11445,000000000247185,"Vino Nero D'Avola Sherazade 2018 Igt Cl.75 13° Donna Fugata"
11446,000000000247186,"Vino Doc Frappato Bell'Assai 2018 Doc Cl.75 14.5°  Donna Fugata"
11447,000000000247188,"Vino Etna Rosso Doc Sul Vulcano 2016 Cl.75 13.5° Donna Fugata"
11448,000000000246889,"Vino Rosso Piceno Superiore Solesta' 2018 Doc Cl.75 14.5° Velenosi"
11449,000000000246890,"Vino Lacrima Di Morro D'Alba Doc Cl.75 12.5° Velenosi"
11450,000000000247701,"Vino Corvina Veronese La Poja Cl.75 Con Astuccio Allegrini"
11451,000000000248275,"Vino Badia A Passignano 2015 Chianti Classico Docg Cl.75 Antinori"
11452,000000000248928,"Vino Chianti Classico 2017 Docg Cl.75 Peppoli Antinori"
11453,000000000249070,"Vino Valpolicella Ripasso 2018 Cl.75 Speri"
11454,000000000249079,"Confezione Vino Barolo 2015 Cl.75 Astuccio Legno Marchesi Di Barolo"
11661,000000000250472,"Whisky Macallan 1993 Speyside 25Y Cl.70 Con Cas Old Particular 51,6°"
11663,1661,"Whisky Highland Park Cl. 70 18Y"
11664,000000000250342,"Whisky Glen Ord Singleton 18 Y Special Release Cl.70 Con Astuccio."
11665,000000000250344,"Whisky Dalwhinnie 30 Y Special Release Cl.70 Con Astuccio."
11666,000000000250349,"Whisky Macallan N.6 Cl.70 43°"
11667,000000000250350,"Whisky Glenfiddich 40Y Cl.70 Con Astuccio. 47,8°"
11668,000000000250322,"Whisky The Macallan 18 Yo Sherry Oak 2020 Cl.70 Con Ast."
11669,000000000250324,"Whisky Port Askaig 28 Y Cl.70 Con Ast. 45,8°"
11670,000000000250325,"Whisky Nikka From The Barrel Box Jigger + 2 Shot Cl.50"
11671,000000000250327,"Whisky Glenfiddich 30 Yo 2018 Release Cl.70 Con Astuccio. 43°"
11672,000000000250328,"Whisky Highland Park 21 Y  Cl.70 Con Astuccio. 46°"
11673,000000000250329,"Whisky The Macallan Reflexion Cl.70 Con Ast. 43°"
11674,000000000250353,"Whisky Bomberger'S Declaration 108 Proof Limited Release 2019 Cl.75"
11675,000000000249263,"Whisky Talisker 15Y Cl.70 Special Release CAst."
11676,000000000249211,"Whisky Ardbeg Corryvreckan Cl.70 57,1° Con Astuccio"
11677,000000000249525,"Whisky Nikka Single Malt Miyagikyo 45° Cl.70"
11738,000000000240956,"Whisky Johnnie Walker Blue Label Cl.70 Con Astuccio(Diageo)"
11739,000000000240957,"Whisky Johnnie Walker Gold Label Reserve Cl.70 Con Astuccio(Diageo)"
11740,000000000240958,"Whisky Talisker Port Ruighe Cl.70 Con Astuccio(Diageo)"
11741,000000000240960,"Whisky Caol Ila Moch Cl.70(Diageo)"
11742,000000000240961,"Scotch Whisky Cardhu 15 Y Cl.70(Diageo)"
11744,000000000243541,"Whisky Monkey Shoulder 40° Cl.70"
11745,000000000241902,"Whisky Johnnie Walker Blue Label Alfred Dunhill Cl.70"
11747,000000000242913,"Whisky Caol Ila 30 Y Cl.70 Con Astuccio"
11748,000000000242914,"Whisky Strathmill 25 Y  Cl.70 Con Astuccio"
11749,000000000251052,"Whisky Single Malt Scotch Glengoyne 12Y 46° Cl.70 Con Astuccio"
11750,000000000251053,"Whisky Single Malt Scotch Craigellacchie 10 Y 46° Cl.70 Con Astuccio"
11751,000000000250971,"Whisky Talisker 8 Y Cl.70 Special Release 2020 Con Astuccio"
11752,000000000250973,"Whisky Oban Distillers Edition 2020 Cl.70 43° Od 169.Ff"
11753,000000000250974,"Whisky Talisker Distillers Edition 45,8° Td-S 5 W I Cl.70"
11754,000000000250979,"Whisky Lagavulin Natural Cask 12Ysr Special Release 2020 Cl.70 56,4° Con Astuccio"
11756,000000000250352,"Rum Depaz Hors D'Age Brut De Fut 2004 Cl.70 58°"
11757,000000000250336,"Rum Jamaican Hampden Estate 60° Cl.70"
11758,000000000250994,"Rhum Hse Agricole Extra Vieux Sherry Finish Martinique Pedro Ximenez 46° Cl.50 Con Astuccio"
11759,000000000251011,"Rum Jamaica Appleton Estate 1994 60° Hearts Collection Cl.70 Con Astuccio"
11760,000000000251015,"Bumbu Rum Cl.70 35° CAstuccio"
11761,000000000242969,"Rhum Saint James 7 Ans 43° Cl.70 Cassa Legno"
11763,000000000240966,"Cacique Ron Antiguo Cl.70 Con Astuccio(Diageo)"
11765,000000000248118,"Rum Kirk & Sweeney 18 Y 40° Cl.70"
11766,000000000248771,"Samaroli Rum Panama 2004 45° Cl.70"
11767,000000000244701,"Rum Plantation Xo 20Y Anniversary"
11768,000000000244728,"Rum Zacapa Royal  Cl.70"
11770,000000000244577,"Whisky Glenlivet 18 Y  Cl.70"
11779,000000000243862,"Rum Trois Rivieres Cuvee Speciale Blanc Agricole 40° Cl.70"
11786,000000000244734,"Whisky Johnnie Walker Green Label 15Y 43° Cl.70 Con Astuccio (Diageo)"
11788,000000000244440,"Whisky Big Peat 46° Cl.70"
11789,000000000244489,"Whisky Moonshine Cl.70 51,5°  Harley Davidson"
11790,000000000245243,"Whisky Jack Daniel'S Gentleman Jack Cl.70 40°"
11792,000000000246357,"Whisky Talisker Single Malt 57° North Cl.70"
11794,000000000246129,"Whisky Macallan 15 Y Triple Cask Matured C.70 43°"
11795,000000000248768,"Samaroli Whisky Caol Ila Isaly 45° Cl.50"
11797,000000000248359,"Whisky Macallan 18 Y Triple Cask C.70 Con Astuccio"
11798,000000000249142,"Whisky Caol Ila 25 Y Cl.70 Con Astuccio"
11799,000000000249143,"Whisky Johnnie Walker Blue Rat Edition Cl.70"
11800,000000000249149,"Whisky Oban Single Malt 21Y Limited Release Cl.70 CAstuccio"
11801,000000000249151,"Whisky Talisker 25Y Cl.70 Con Astuccio"
11802,000000000248117,"Whisky Yoichi Non Age 45° Cl.70 Single Malt Nikka"
11803,000000000246640,"Whisky Scapa Skiren Cl.70"
11804,000000000246642,"Whisky Aberlour 16Y 40 Lt. 0,70"
11805,000000000246643,"Whisky Aberlour 12Y Lt. 0,70"
11807,000000000239965,"Whisky Caol Ila 18 Y Cl.70(Diageo)"
11808,000000000239981,"Whisky Port Ellen 37Y Sr Cl.70 Limited Edition"
11809,000000000251125,"Champagne Bollinger Magnum Cl.150 Con Astuccio"
11812,000000000250803,"Champagne Of 007 Bollinger Cl.75 Con Astuccio"
11813,000000000250804,"Champagne Bollinger Rose' 12° Cl.75 Con Astuccio"
11816,000000000247046,"Birra D.H.M. Straffe Hendrik Wild 2019 Cl.33 Brewrise"
11818,000000000244896,"Grappa Ligneum Of Moscato Invecchiato Bonollo Cl.70 42°"
11819,000000000246305,"Grappa Berta Villa Prato Cl.100 40°"
11820,000000000246324,"Cognac Hardy Noces D'Argent 70 Cl 40° Francoli"
11821,000000000240052,"Marzadro Grappa Chardonnay Cl.70 Giare"
11822,000000000250809,"Marzadro Grappa Giare Amarone Cl.20 41° Con Astuccio"
11828,000000000241515,"Franciacorta Contadi Castaldi Saten 12.5° Cl.75"
11829,000000000249071,"Champagne Ayala Brut Majeur Cl.75 12° Con Astuccio"
11830,000000000249055,"Champagne Laurent Perrier Cuvee' Rose' Cl.75 12° Con Astuccio"
11831,000000000249056,"Champagne Laurent Perrier Millesime' Cl.75 12° C'Astuccio Xxx"
11832,000000000249057,"Bellavista Grande Cuvee Franciacorta Alma Non Dosato Cl.75 Con Astuccio"
11833,000000000248939,"Vino Franciacorta Docg Brut 25  S/Ast. Blanc De Blancs Cl.75 F.Lli Berlucchi"
11834,000000000248941,"Vino Franciacorta Docg Brut 25 Blanc De Blancs Cl.150 Con Astuccio F.Lli Berlucchi"
11835,000000000248965,"Champagne Mumm Rose' Cl.75 Xxx"
11836,000000000248460,"Franciacorta Contadi Castaldi Brut Cl.150 Con Astuccio"
11837,000000000248669,"Champagne Veuve Clicquot Rich  Cl.75 Ponsardin Argento Xxxxx"
11838,000000000248674,"Vino Franciacorta Brut Docg Cl.75 13° Antica Fratta"
11839,000000000248675,"Vino Franciacorta Brut Docg Cl.150  13°  Antica Fratta"
11840,000000000248676,"Vino Franciacorta Saten Docg Cl.75 13° Essence Antica Fratta"
